en,fr,it,de,es,ko,kana,jp
Run Away,Fuite,Fugafacile,Angsthase,Fuga,도주,にげあし,Fuite
Keen Eye,Regard Vif,Sguardofermo,Adlerauge,Vista Lince,날카로운눈,するどいめ,Regard Vif
Hyper Cutter,Hyper Cutter,Ipertaglio,Scherenmacht,Corte Fuerte,괴력집게,かいりきバサミ,Hyper Cutter
Pickup,Ramassage,Raccolta,Mitnahme,Recogida,픽업,ものひろい,Ramassage
Truant,Absentéisme,Pigrone,Schnarchnase,Ausente,게으름,なまけ,Absentéisme
Hustle,Agitation,Tuttafretta,Übereifer,Entusiasmo,의욕,はりきり,Agitation
Cute Charm,Joli Sourire,Incantevole,Charmebolzen,Gran Encanto,헤롱헤롱바디,メロメロボディ,Joli Sourire
Plus,Plus,Più,Plus,Más,플러스,プラス,Plus
Minus,Moins,Meno,Minus,Menos,마이너스,マイナス,Moins
Forecast,Météo,Previsioni,Prognose,Predicción,기분파,てんきや,Météo
Sticky Hold,Glu,Antifurto,Klebekörper,Viscosidad,점착,ねんちゃく,Glu
Shed Skin,Mue,Muta,Expidermis,Mudar,탈피,だっぴ,Mue
Guts,Cran,Dentistretti,Adrenalin,Agallas,근성,こんじょう,Cran
Marvel Scale,Écaille Spéciale,Pelledura,Notschutz,Escama Especial,이상한비늘,ふしぎなうろこ,Écaille Spéciale
Liquid Ooze,Suintement,Melma,Kloakensoße,Lodo Líquido,해감액,ヘドロえき,Suintement
Overgrow,Engrais,Erbaiuto,Notdünger,Espesura,심록,しんりょく,Engrais
Blaze,Brasier,Aiutofuoco,Großbrand,Mar Llamas,맹화,もうか,Brasier
Torrent,Torrent,Acquaiuto,Sturzbach,Torrente,급류,げきりゅう,Torrent
Swarm,Essaim,Aiutinsetto,Hexaplaga,Enjambre,벌레의알림,むしのしらせ,Essaim
Rock Head,Tête de Roc,Testadura,Steinhaupt,Cabeza Roca,돌머리,いしあたま,Tête de Roc
Drought,Sécheresse,Siccità,Dürre,Sequía,가뭄,ひでり,Sécheresse
Arena Trap,Piège Sable,Trappoarena,Ausweglos,Trampa Arena,개미지옥,ありじごく,Piège Sable
Vital Spirit,Esprit Vital,Spiritovivo,Munterkeit,Espíritu Vital,의기양양,やるき,Esprit Vital
White Smoke,Écran Fumée,Fumochiaro,Pulverrauch,Humo Blanco,하얀연기,しろいけむり,Écran Fumée
Pure Power,Force Pure,Forzapura,Mentalkraft,Energía Pura,순수한힘,ヨガパワー,Force Pure
Shell Armor,Coque Armure,Guscioscudo,Panzerhaut,Caparazón,조가비갑옷,シェルアーマー,Coque Armure
Air Lock,Air Lock,Riparo,Klimaschutz,Bucle Aire,에어록,エアロック,Air Lock
Tangled Feet,Pieds Confus,Intricopiedi,Fußangel,Tumbos,갈지자걸음,ちどりあし,Pieds Confus
Motor Drive,Motorisé,Elettrorapid,Starthilfe,Electromotor,전기엔진,でんきエンジン,Motorisé
Rivalry,Rivalité,Antagonismo,Rivalität,Rivalidad,투쟁심,とうそうしん,Rivalité
Steadfast,Impassible,Cuordeciso,Felsenfest,Impasible,불굴의마음,ふくつのこころ,Impassible
Snow Cloak,Rideau Neige,Mantelneve,Schneemantel,Manto Níveo,눈숨기,ゆきがくれ,Rideau Neige
Gluttony,Gloutonnerie,Voracità,Völlerei,Gula,먹보,くいしんぼう,Gloutonnerie
Anger Point,Colérique,Grancollera,Kurzschluss,Irascible,분노의경혈,いかりのつぼ,Colérique
Unburden,Délestage,Agiltecnica,Entlastung,Liviano,곡예,かるわざ,Délestage
Heatproof,Ignifugé,Antifuoco,Hitzeschutz,Ignífugo,내열,たいねつ,Ignifugé
Simple,Simple,Disinvoltura,Wankelmut,Simple,단순,たんじゅん,Simple
Dry Skin,Peau Sèche,Pellearsa,Trockenheit,Piel Seca,건조피부,かんそうはだ,Peau Sèche
Download,Télécharge,Download,Download,Descarga,다운로드,ダウンロード,Télécharge
Iron Fist,Poing de Fer,Ferropugno,Eisenfaust,Puño Férreo,철주먹,てつのこぶし,Poing de Fer
Poison Heal,Soin Poison,Velencura,Aufheber,Antídoto,포이즌힐,ポイズンヒール,Soin Poison
Adaptability,Adaptabilité,Adattabilità,Anpassung,Adaptable,적응력,てきおうりょく,Adaptabilité
Skill Link,Multi-Coups,Abillegame,Wertelink,Encadenado,스킬링크,スキルリンク,Multi-Coups
Hydration,Hydratation,Idratazione,Hydration,Hidratación,촉촉바디,うるおいボディ,Hydratation
Solar Power,Force Soleil,Solarpotere,Solarkraft,Poder Solar,선파워,サンパワー,Force Soleil
Quick Feet,Pied Véloce,Piedisvelti,Rasanz,Pies Rápidos,속보,はやあし,Pied Véloce
Normalize,Normalise,Normalità,Regulierung,Normalidad,노말스킨,ノーマルスキン,Normalise
Sniper,Sniper,Cecchino,Superschütze,Francotirador,스나이퍼,スナイパー,Sniper
Magic Guard,Garde Magik,Magicscudo,Magieschild,Muro Mágico,매직가드,マジックガード,Garde Magik
No Guard,Annule Garde,Nullodifesa,Schildlos,Indefenso,노가드,ノーガード,Annule Garde
Stall,Frein,Rallentatore,Zeitspiel,Rezagado,시간벌기,あとだし,Frein
Technician,Technicien,Tecnico,Techniker,Experto,테크니션,テクニシャン,Technicien
Leaf Guard,Feuille Garde,Fogliamanto,Floraschild,Defensa Hoja,리프가드,リーフガード,Feuille Garde
Klutz,Maladresse,Impaccio,Tollpatsch,Zoquete,서투름,ぶきよう,Maladresse
Mold Breaker,Brise Moule,Rompiforma,Überbrückung,Rompemoldes,틀깨기,かたやぶり,Brise Moule
Super Luck,Chanceux,Supersorte,Glückspilz,Afortunado,대운,きょううん,Chanceux
Aftermath,Boom Final,Scoppio,Finalschlag,Detonación,유폭,ゆうばく,Boom Final
Anticipation,Anticipation,Presagio,Vorahnung,Anticipación,위험예지,きけんよち,Anticipation
Forewarn,Prédiction,Premonizione,Vorwarnung,Alerta,예지몽,よちむ,Prédiction
Unaware,Inconscient,Imprudenza,Unkenntnis,Ignorante,천진,てんねん,Inconscient
Tinted Lens,Lentiteintée,Lentifumé,Aufwertung,Cromolente,색안경,いろめがね,Lentiteintée
Filter,Filtre,Filtro,Filter,Filtro,필터,フィルター,Filtre
Slow Start,Début Calme,Lentoinizio,Saumselig,Inicio Lento,슬로스타트,スロースタート,Début Calme
Scrappy,Querelleur,Nervisaldi,Rauflust,Intrépido,배짱,きもったま,Querelleur
Storm Drain,Lavabo,Acquascolo,Sturmsog,Colector,마중물,よびみず,Lavabo
Ice Body,Corps Gel,Corpogelo,Eishaut,Gélido,아이스바디,アイスボディ,Corps Gel
Solid Rock,Solide Roc,Solidroccia,Felskern,Roca Sólida,하드록,ハードロック,Solide Roc
Snow Warning,Alerte Neige,Scendineve,Hagelalarm,Nevada,눈퍼뜨리기,ゆきふらし,Alerte Neige
Honey Gather,Cherche Miel,Mielincetta,Honigmaul,Recogemiel,꿀모으기,みつあつめ,Cherche Miel
Frisk,Fouille,Indagine,Schnüffler,Cacheo,통찰,おみとおし,Fouille
Reckless,Téméraire,Temerarietà,Achtlos,Audaz,이판사판,すてみ,Téméraire
Multitype,Multi-Type,Multitipo,Variabilität,Multitipo,멀티타입,マルチタイプ,Multi-Type
Flower Gift,Don Floral,Regalfiore,Pflanzengabe,Don Floral,플라워기프트,フラワーギフト,Don Floral
Bad Dreams,Mauvais Rêve,Sogniamari,Alptraum,Mal Sueño,나이트메어,ナイトメア,Mauvais Rêve
Pickpocket,Pickpocket,Arraffalesto,Langfinger,Hurto,나쁜손버릇,わるいてぐせ,Pickpocket
Sheer Force,Sans Limite,Forzabruta,Rohe Gewalt,Potencia Bruta,우격다짐,ちからずく,Sans Limite
Contrary,Contestation,Inversione,Umkehrung,Respondón,심술꾸러기,あまのじゃく,Contestation
Unnerve,Tension,Agitazione,Anspannung,Nerviosismo,긴장감,きんちょうかん,Tension
Defiant,Acharné,Agonismo,Siegeswille,Competitivo,오기,まけんき,Acharné
Defeatist,Défaitiste,Sconforto,Schwächling,Flaqueza,무기력,よわき,Défaitiste
Cursed Body,Corps Maudit,Corpofunesto,Tastfluch,Cuerpo Maldito,저주받은바디,のろわれボディ,Corps Maudit
Healer,Cœur Soin,Curacuore,Heilherz,Alma Cura,치유의마음,いやしのこころ,Cœur Soin
Friend Guard,Garde-Ami,Amicoscudo,Freundeshut,Compiescolta,프렌드가드,フレンドガード,Garde-Ami
Weak Armor,Armurouillée,Sottilguscio,Bruchrüstung,Armadura Frágil,깨어진갑옷,くだけるよろい,Armurouillée
Heavy Metal,Heavy Metal,Metalpesante,Schwermetall,Metal Pesado,헤비메탈,ヘヴィメタル,Heavy Metal
Light Metal,Light Metal,Metalleggero,Leichtmetall,Metal Liviano,라이트메탈,ライトメタル,Light Metal
Multiscale,Multiécaille,Multisquame,Multischuppe,Multiescamas,멀티스케일,マルチスケイル,Multiécaille
Toxic Boost,Rage Poison,Velenimpeto,Giftwahn,Ímpetu Tóxico,독폭주,どくぼうそう,Rage Poison
Flare Boost,Rage Brûlure,Bruciaimpeto,Hitzewahn,Ímpetu Ardiente,열폭주,ねつぼうそう,Rage Brûlure
Harvest,Récolte,Coglibacche,Reiche Ernte,Cosecha,수확,しゅうかく,Récolte
Telepathy,Télépathe,Telepatia,Telepathie,Telepatía,텔레파시,テレパシー,Télépathe
Moody,Lunatique,Altalena,Gefühlswippe,Veleta,변덕쟁이,ムラっけ,Lunatique
Overcoat,Envelocape,Copricapo,Partikelschutz,Funda,방진,ぼうじん,Envelocape
Poison Touch,Toxitouche,Velentocco,Giftgriff,Toque Tóxico,독수,どくしゅ,Toxitouche
Regenerator,Régé-Force,Rigenergia,Belebekraft,Regeneración,재생력,さいせいりょく,Régé-Force
Big Pecks,Cœur de Coq,Pettinfuori,Brustbieter,Sacapecho,부풀린가슴,はとむね,Cœur de Coq
Sand Rush,Baigne Sable,Remasabbia,Sandscharrer,Ímpetu Arena,모래헤치기,すなかき,Baigne Sable
Wonder Skin,Peau Miracle,Splendicute,Wunderhaut,Piel Milagro,미라클스킨,ミラクルスキン,Peau Miracle
Analytic,Analyste,Ponderazione,Analyse,Cálculo Final,애널라이즈,アナライズ,Analyste
Illusion,Illusion,Illusione,Trugbild,Ilusión,일루전,イリュージョン,Illusion
Imposter,Imposteur,Sosia,Doppelgänger,Impostor,괴짜,かわりもの,Imposteur
Infiltrator,Infiltration,Intrapasso,Schwebedurch,Allanamiento,틈새포착,すりぬけ,Infiltration
Mummy,Momie,Mummia,Mumie,Momia,미라,ミイラ,Momie
Moxie,Impudence,Arroganza,Hochmut,Autoestima,자기과신,じしんかじょう,Impudence
Justified,Cœur Noble,Giustizia,Redlichkeit,Justiciero,정의의마음,せいぎのこころ,Cœur Noble
Rattled,Phobique,Paura,Hasenfuß,Cobardía,주눅,びびり,Phobique
Magic Bounce,Miroir Magik,Magispecchio,Magiespiegel,Espejo Mágico,매직미러,マジックミラー,Miroir Magik
Sap Sipper,Herbivore,Mangiaerba,Vegetarier,Herbívoro,초식,そうしょく,Herbivore
Prankster,Farceur,Burla,Strolch,Bromista,짓궂은마음,いたずらごころ,Farceur
Sand Force,Force Sable,Silicoforza,Sandgewalt,Poder Arena,모래의힘,すなのちから,Force Sable
Iron Barbs,Épine de Fer,Spineferrate,Eisenstachel,Punta Acero,철가시,てつのトゲ,Épine de Fer
Zen Mode,Mode Transe,Stato Zen,Trance-Modus,Modo Daruma,달마모드,ダルマモード,Mode Transe
Victory Star,Victorieux,Vittorstella,Triumphstern,Tinovictoria,승리의별,しょうりのほし,Victorieux
Turboblaze,Turbo Brasier,Piroturbina,Turbobrand,Turbollama,터보블레이즈,ターボブレイズ,Turbo Brasier
Teravolt,Téra-Voltage,Teravolt,Teravolt,Terravoltaje,테라볼티지,テラボルテージ,Téra-Voltage
Aroma Veil,Aroma-Voile,Aromavelo,Dufthülle,Velo Aroma,아로마베일,アロマベール,Aroma-Voile
Flower Veil,Flora-Voile,Fiorvelo,Blütenhülle,Velo Flor,플라워베일,フラワーベール,Flora-Voile
Cheek Pouch,Bajoues,Guancegonfie,Backentaschen,Carrillo,볼주머니,ほおぶくろ,Bajoues
Protean,Protéen,Mutatipo,Wandlungskunst,Mutatipo,변환자재,へんげんじざい,Protéen
Fur Coat,Toison Épaisse,Foltopelo,Fellkleid,Pelaje Recio,퍼코트,ファーコート,Toison Épaisse
Magician,Magicien,Prestigiatore,Zauberer,Prestidigitador,매지션,マジシャン,Magicien
Bulletproof,Pare-Balles,Antiproiettile,Kugelsicher,Antibalas,방탄,ぼうだん,Pare-Balles
Competitive,Battant,Tenacia,Unbeugsamkeit,Tenacidad,승기,かちき,Battant
Strong Jaw,Prognathe,Ferromascella,Titankiefer,Mandíbula Fuerte,옹골찬턱,がんじょうあご,Prognathe
Refrigerate,Peau Gelée,Pellegelo,Frostschicht,Piel Helada,프리즈스킨,フリーズスキン,Peau Gelée
Sweet Veil,Gluco-Voile,Dolcevelo,Zuckerhülle,Velo Dulce,스위트베일,スイートベール,Gluco-Voile
Stance Change,Déclic Tactique,Accendilotta,Taktikwechsel,Cambio Táctico,배틀스위치,バトルスイッチ,Déclic Tactique
Gale Wings,Ailes Bourrasque,Aliraffica,Orkanschwingen,Alas Vendaval,질풍날개,はやてのつばさ,Ailes Bourrasque
Mega Launcher,Méga Blaster,Megalancio,Megawumme,Megadisparador,메가런처,メガランチャー,Méga Blaster
Grass Pelt,Toison Herbue,Peloderba,Pflanzenpelz,Manto Frondoso,풀모피,くさのけがわ,Toison Herbue
Symbiosis,Symbiose,Simbiosi,Nutznießer,Simbiosis,공생,きょうせい,Symbiose
Tough Claws,Griffe Dure,Unghiedure,Krallenwucht,Garra Dura,단단한발톱,かたいツメ,Griffe Dure
Pixilate,Peau Féérique,Pellefolletto,Feenschicht,Piel Feérica,페어리스킨,フェアリースキン,Peau Féérique
Gooey,Poisseux,Viscosità,Viskosität,Baba,미끈미끈,ぬめぬめ,Poisseux
Aerilate,Peau Céleste,Pellecielo,Zenithaut,Piel Celeste,스카이스킨,スカイスキン,Peau Céleste
Parental Bond,Amour Filial,Amorefiliale,Familienbande,Amor Filial,부자유친,おやこあい,Amour Filial
Dark Aura,Aura Ténébreuse,Auratetra,Dunkelaura,Aura Oscura,다크오라,ダークオーラ,Aura Ténébreuse
Fairy Aura,Aura Féérique,Aurafolletto,Feenaura,Aura Feérica,페어리오라,フェアリーオーラ,Aura Féérique
Aura Break,Aura Inversée,Frangiaura,Aura-Umkehr,Rompeaura,오라브레이크,オーラブレイク,Aura Inversée
Primordial Sea,Mer Primaire,Mare Primordiale,Urmeer,Mar del Albor,시작의바다,はじまりのうみ,Mer Primaire
Desolate Land,Terre Finale,Terra Estrema,Endland,Tierra del Ocaso,끝의대지,おわりのだいち,Terre Finale
Delta Stream,Souffle Delta,Flusso Delta,Delta-Wind,Ráfaga Delta,델타스트림,デルタストリーム,Souffle Delta
Stamina,Endurance,Sopportazione,Zähigkeit,Firmeza,지구력,じきゅうりょく,Endurance
Wimp Out,Escampette,Fuggifuggi,Reißaus,Huida,도망태세,にげごし,Escampette
Emergency Exit,Repli Tactique,Passoindietro,Rückzug,Retirada,위기회피,ききかいひ,Repli Tactique
Water Compaction,Sable Humide,Idrorinforzo,Verklumpen,Hidrorrefuerzo,꾸덕꾸덕굳기,みずがため,Sable Humide
Merciless,Cruauté,Spietatezza,Quälerei,Ensañamiento,무도한행동,ひとでなし,Cruauté
Shields Down,Bouclier-Carcan,Scudosoglia,Limitschild,Escudo Limitado,리밋실드,リミットシールド,Bouclier-Carcan
Stakeout,Filature,Sorveglianza,Beschattung,Vigilante,잠복,はりこみ,Filature
Water Bubble,Aquabulle,Bolladacqua,Wasserblase,Pompa,수포,すいほう,Aquabulle
Steelworker,Expert Acier,Tempracciaio,Stahlprofi,Acero Templado,강철술사,はがねつかい,Expert Acier
Berserk,Dracolère,Furore,Wutausbruch,Cólera,발끈,ぎゃくじょう,Dracolère
Slush Rush,Chasse-Neige,Spalaneve,Schneescharrer,Quitanieves,눈치우기,ゆきかき,Chasse-Neige
Long Reach,Longue Portée,Distacco,Langstrecke,Remoto,원격,えんかく,Longue Portée
Liquid Voice,Hydrata-Son,Idrovoce,Plätscherstimme,Voz Fluida,촉촉보이스,うるおいボイス,Hydrata-Son
Triage,Prioguérison,Primacura,Heilwandel,Primer Auxilio,힐링시프트,ヒーリングシフト,Prioguérison
Galvanize,Peau Électrique,Pellelettro,Elektrohaut,Piel Eléctrica,일렉트릭스킨,エレキスキン,Peau Électrique
Surge Surfer,Surf Caudal,Codasurf,Surf-Schweif,Cola Surf,서핑테일,サーフテール,Surf Caudal
Schooling,Banc,Banco,Fischschwarm,Banco,어군,ぎょぐん,Banc
Disguise,Fantômasque,Fantasmanto,Kostümspuk,Disfraz,탈,ばけのかわ,Fantômasque
Battle Bond,Synergie,Morfosintonia,Freundschaftsakt,Fuerte Afecto,유대변화,きずなへんげ,Synergie
Power Construct,Rassemblement,Sciamefusione,Scharwandel,Agrupamiento,스웜체인지,スワームチェンジ,Rassemblement
Corrosion,Corrosion,Corrosione,Korrosion,Corrosión,부식,ふしょく,Corrosion
Comatose,Hypersommeil,Sonno Assoluto,Dauerschlaf,Letargo Perenne,절대안깸,ぜったいねむり,Hypersommeil
Queenly Majesty,Prestance Royale,Regalità,Majestät,Regia Presencia,여왕의위엄,じょおうのいげん,Prestance Royale
Innards Out,Expuls’Organes,Espellinterno,Magenkrempler,Revés,내용물분출,とびだすなかみ,Expuls’Organes
Dancer,Danseuse,Sincrodanza,Tänzer,Pareja de Baile,무희,おどりこ,Danseuse
Battery,Batterie,Batteria,Batterie,Batería,배터리,バッテリー,Batterie
Fluffy,Boule de Poils,Morbidone,Flauschigkeit,Peluche,복슬복슬,もふもふ,Boule de Poils
Dazzling,Corps Coloré,Corposgargiante,Buntkörper,Cuerpo Vívido,비비드바디,ビビッドボディ,Corps Coloré
Soul-Heart,Animacœur,Cuoreanima,Seelenherz,Coránima,소울하트,ソウルハート,Animacœur
Tangling Hair,Mèche Rebelle,Boccolidoro,Lockenkopf,Rizos Rebeldes,컬리헤어,カーリーヘアー,Mèche Rebelle
Receiver,Receveur,Ricezione,Receiver,Receptor,리시버,レシーバー,Receveur
Power of Alchemy,Osmose,Forza Chimica,Chemiekraft,Reacción Química,과학의힘,かがくのちから,Osmose
Beast Boost,Boost Chimère,Ultraboost,Bestien-Boost,Ultraimpulso,비스트부스트,ビーストブースト,Boost Chimère
RKS System,Système Alpha,Sistema Primevo,Alpha-System,Sistema Alfa,AR시스템,ＡＲシステム,Système Alpha
Electric Surge,Créa-Élec,Elettrogenesi,Elektro-Erzeuger,Electrogénesis,일렉트릭메이커,エレキメイカー,Créa-Élec
Psychic Surge,Créa-Psy,Psicogenesi,Psycho-Erzeuger,Psicogénesis,사이코메이커,サイコメイカー,Créa-Psy
Misty Surge,Créa-Brume,Nebbiogenesi,Nebel-Erzeuger,Nebulogénesis,미스트메이커,ミストメイカー,Créa-Brume
Grassy Surge,Créa-Herbe,Erbogenesi,Gras-Erzeuger,Herbogénesis,그래스메이커,グラスメイカー,Créa-Herbe
Full Metal Body,Métallo-Garde,Metalprotezione,Metallprotektor,Guardia Metálica,메탈프로텍트,メタルプロテクト,Métallo-Garde
Shadow Shield,Spectro-Bouclier,Spettroguardia,Phantomschutz,Guardia Espectro,스펙터가드,ファントムガード,Spectro-Bouclier
Prism Armor,Prisme-Armure,Scudoprisma,Prismarüstung,Armadura Prisma,프리즘아머,プリズムアーマー,Prisme-Armure
Neuroforce,Stupidité Morbide,Cerebroforza,Zerebralmacht,Fuerza Cerebral,브레인포스,ブレインフォース,Stupidité Morbide
Punk Rock,Punk Rock,Spada Indomita,Kühnes Schwert,Espada Indómita,불요의검,ふとうのけん,Punk Rock
Dauntless Shield,Nerfs d'Acier,Scudo Saldo,Wackerer Schild,Escudo Recio,불굴의방패,ふくつのたて,Aéroporté
Charge Quantique,Charge Quantique,Libero,Libero,Líbero,리베로,リベロ,Charge Quantique
paleosynthese,Paléosynthèse ,Raccattapalle,Apport,Recogebolas,볼줍기,たまひろい,Paléosynthèse 
Cotton Down,Absorbe-Terre,Lanugine,Wollflaum,Pelusa,솜털,わたげ,Courroupace Prime
Neutralizing Gas,Gaz Inhibiteur,Elicopinna,Schraubflosse,Hélice Caudal,스크루지느러미,スクリューおびれ,Propulseur
Chaos Cloud,Météo Chaotique,Blindospecchio,Spiegelrüstung,Coraza Reflejo,미러아머,ミラーアーマー,Armure Miroir
Gulp Missile,Moteur à Hadrons,Inghiottimissile,Würggeschoss,Tragamisil,그대로꿀꺽미사일,うのミサイル,Dégobage
Stalwart,Pouls Orichalque,Volontà di Ferro,Stahlrückgrat,Acérrimo,굳건한신념,すじがねいり,Nerfs d’Acier
Steam Engine,Bois du Fléau,Vapormacchina,Dampfantrieb,Combustible,증기기관,じょうききかん,Turbine
Punk Rock,Épée du Fléau,Punk Rock,Punk Rock,Punk Rock,펑크록,パンクロック,Punk Rock
Sand Spit,Urne du Fléau,Sputasabbia,Sandspeier,Expulsarena,모래뿜기,すなはき,Expul’Sable
Ice Scales,Perles du Fléau,Geloscaglie,Eisflügelstaub,Escama de Hielo,얼음인분,こおりのりんぷん,Écailles Glacées
Ripen,Âme Vagabonde,Maturazione,Heranreifen,Maduración,숙성,じゅくせい,Mûrissement
Ice Face,Expul'Sable,Gelofaccia,Tiefkühlkopf,Cara de Hielo,아이스페이스,アイスフェイス,Tête de Gel
Power Spot,Corps Condamné,Fonte Energetica,Kraftquelle,Fuente Energía,파워스폿,パワースポット,Cercle d’Énergie
Mimicry,Effilochage,Mimetismo,Mimese,Mimetismo,의태,ぎたい,Mimétisme
Screen Cleaner,Entêtement,Annullabarriere,Hemmungslos,Antibarrera,배리어프리,バリアフリー,Brise-Barrière
Steely Spirit,Tête de Gel,Spiritoferreo,Stählerner Wille,Alma Acerada,강철정신,はがねのせいしん,Boost Acier
Perish Body,Tir Vif,Ultimotocco,Unheilskörper,Cuerpo Mortal,멸망의바디,ほろびのボディ,Corps Condamné
Wandering Spirit,Breuvage Suspect,Anima Errante,Rastlose Seele,Alma Errante,떠도는영혼,さまようたましい,Âme Vagabonde
Gorilla Tactics,Supermutation,Vigorilla,Affenfokus,Monotema,무아지경,ごりむちゅう,Entêtement
Neutralizing Gas,Dégobage,Gas Reagente,Reaktionsgas,Gas Reactivo,화학변화가스,かがくへんかガス,Gaz Inhibiteur
Pastel Veil,Bien Cuit,Pastelvelo,Pastellhülle,Velo Pastel,파스텔베일,パステルベール,Voile Pastel
Hunger Switch,Collab,Pancialterna,Heißhunger,Mutapetito,꼬르륵스위치,はらぺこスイッチ,Déclic Fringale
